koma_id,kanji,page,koma,width,height,page_type,koma_path
10-009-1,10,9,1,709,517,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-009-1-pad-shaved.jpg
10-009-2,10,9,2,732,556,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-009-2-pad-shaved.jpg
10-009-3,10,9,3,656,503,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-009-3-pad-shaved.jpg
10-009-4,10,9,4,656,500,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-009-4-pad-shaved.jpg
10-009-5,10,9,5,727,555,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-009-5-pad-shaved.jpg
10-009-6,10,9,6,671,537,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-009-6-pad-shaved.jpg
10-009-7,10,9,7,652,501,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-009-7-pad-shaved.jpg
10-009-8,10,9,8,652,500,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-009-8-pad-shaved.jpg
10-010-1,10,10,1,656,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-010-1.jpg
10-010-2,10,10,2,656,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-010-2.jpg
10-010-3,10,10,3,656,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-010-3.jpg
10-010-4,10,10,4,655,500,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-010-4.jpg
10-010-5,10,10,5,651,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-010-5.jpg
10-010-6,10,10,6,651,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-010-6.jpg
10-010-7,10,10,7,651,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-010-7.jpg
10-010-8,10,10,8,652,501,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-010-8.jpg
10-011-1,10,11,1,656,501,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-011-1.jpg
10-011-2,10,11,2,656,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-011-2.jpg
10-011-3,10,11,3,656,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-011-3.jpg
10-011-4,10,11,4,656,500,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-011-4.jpg
10-011-5,10,11,5,651,501,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-011-5.jpg
10-011-6,10,11,6,652,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-011-6.jpg
10-011-7,10,11,7,651,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-011-7.jpg
10-011-8,10,11,8,651,500,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-011-8.jpg
10-012-1,10,12,1,655,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-012-1-pad-shaved.jpg
10-012-2,10,12,2,655,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-012-2-pad-shaved.jpg
10-012-3,10,12,3,656,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-012-3-pad-shaved.jpg
10-012-4,10,12,4,656,499,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-012-4-pad-shaved.jpg
10-012-5,10,12,5,652,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-012-5-pad-shaved.jpg
10-012-6,10,12,6,652,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-012-6-pad-shaved.jpg
10-012-7,10,12,7,652,505,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-012-7-pad-shaved.jpg
10-012-8,10,12,8,652,500,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-012-8-pad-shaved.jpg
10-013-1,10,13,1,656,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-013-1.jpg
10-013-2,10,13,2,656,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-013-2.jpg
10-013-3,10,13,3,656,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-013-3.jpg
10-013-4,10,13,4,656,499,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-013-4.jpg
10-013-5,10,13,5,652,501,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-013-5.jpg
10-013-6,10,13,6,652,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-013-6.jpg
10-013-7,10,13,7,652,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-013-7.jpg
10-013-8,10,13,8,688,508,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-013-8.jpg
10-014-1,10,14,1,654,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-014-1.jpg
10-014-2,10,14,2,654,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-014-2.jpg
10-014-3,10,14,3,655,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-014-3.jpg
10-014-4,10,14,4,654,499,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-014-4.jpg
10-014-5,10,14,5,652,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-014-5.jpg
10-014-6,10,14,6,651,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-014-6.jpg
10-014-7,10,14,7,652,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-014-7.jpg
10-014-8,10,14,8,651,500,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-014-8.jpg
10-015-1,10,15,1,655,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-015-1.jpg
10-015-2,10,15,2,656,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-015-2.jpg
10-015-3,10,15,3,656,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-015-3.jpg
10-015-4,10,15,4,655,499,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-015-4.jpg
10-015-5,10,15,5,651,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-015-5.jpg
10-015-6,10,15,6,651,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-015-6.jpg
10-015-7,10,15,7,651,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-015-7.jpg
10-015-8,10,15,8,652,499,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-015-8.jpg
10-016-1,10,16,1,655,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-016-1.jpg
10-016-2,10,16,2,655,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-016-2.jpg
10-016-3,10,16,3,655,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-016-3.jpg
10-016-4,10,16,4,655,500,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-016-4.jpg
10-016-5,10,16,5,651,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-016-5.jpg
10-016-6,10,16,6,651,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-016-6.jpg
10-016-7,10,16,7,651,505,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-016-7.jpg
10-016-8,10,16,8,651,499,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-016-8.jpg
10-017-1,10,17,1,693,527,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-017-1-pad-shaved.jpg
10-017-2,10,17,2,694,530,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-017-2-pad-shaved.jpg
10-017-3,10,17,3,657,503,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-017-3-pad-shaved.jpg
10-017-4,10,17,4,656,499,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-017-4-pad-shaved.jpg
10-017-5,10,17,5,687,525,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-017-5-pad-shaved.jpg
10-017-6,10,17,6,682,526,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-017-6-pad-shaved.jpg
10-017-7,10,17,7,652,502,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-017-7-pad-shaved.jpg
10-017-8,10,17,8,651,499,tobirae,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-017-8-pad-shaved.jpg
10-018-1,10,18,1,656,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-018-1.jpg
10-018-2,10,18,2,655,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-018-2.jpg
10-018-3,10,18,3,656,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-018-3.jpg
10-018-4,10,18,4,656,500,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-018-4.jpg
10-018-5,10,18,5,652,505,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-018-5.jpg
10-018-6,10,18,6,652,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-018-6.jpg
10-018-7,10,18,7,651,504,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-018-7.jpg
10-018-8,10,18,8,651,499,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-018-8.jpg
10-019-1,10,19,1,656,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-019-1.jpg
10-019-2,10,19,2,656,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-019-2.jpg
10-019-3,10,19,3,655,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-019-3.jpg
10-019-4,10,19,4,655,500,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-019-4.jpg
10-019-5,10,19,5,651,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-019-5.jpg
10-019-6,10,19,6,651,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-019-6.jpg
10-019-7,10,19,7,652,502,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-019-7.jpg
10-019-8,10,19,8,651,500,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-019-8.jpg
10-020-1,10,20,1,655,503,koma_only,/Users/esuji/program/cvtest/yonkoma2data/src/work_dir/pages/yuyu10/pages_corrected/2_paint_out/0_koma/0_padding_shave/image-020-1.jpg
